flat,badrooms,bathrooms,location,sqm,price
True,2,0,Wilda,52,299000.0
True,2,0,Wilda,37,234000.0
True,3,2,Wilda,90,375000.0
True,4,0,Centrum,163,820000.0
True,3,4,Winogrady,50,320000.0
False,4,0,Grunwald,82,420000.0
True,4,1,Stare,98,495000.0
True,2,1,Stare,52,279000.0
True,3,1,Stare,99,620000.0
True,2,1,Stare,54,329000.0
True,3,2,Stare,92,699000.0
True,3,0,Stare,73,487000.0
True,3,0,Naramowice,69,375000.0
True,2,9,Rataje,49,269000.0
True,2,4,Grunwald,43,220000.0
True,2,1,Dębiec,38,230000.0
True,2,0,Górczyn,60,435000.0
True,3,2,Podolany,68,390000.0
True,2,1,Grunwald,78,446240.0
True,3,2,Podolany,68,390000.0
True,3,2,Winogrady,100,619000.0
True,2,3,Dębiec,50,240000.0
True,3,4,Rataje,48,270000.0
True,2,0,Stare,42,244968.0
True,2,4,Winogrady,48,285679.0
True,2,6,Winiary,70,260000.0
True,4,1,Piątkowo,100,585000.0
True,3,1,Piątkowo,63,329000.0
True,2,0,Naramowice,46,269000.0
True,3,9,Rataje,65,348000.0
True,3,4,Rataje,48,270000.0
True,3,5,Grunwald,58,359605.0
False,2,3,Stare,71,375529.0
False,2,1,Podolany,74,247705.0
False,2,1,Piątkowo,74,247705.0
False,2,4,Głuszyna,45,156085.0
False,3,3,Winogrady,17,411684.0
False,4,0,Szczepankowo,29,349000.0
False,2,2,Podolany,70,277823.0
False,2,0,Ogrody,54,249733.0
False,4,2,Starołęka,14,424377.0
False,2,0,Starołęka,59,282944.0
False,3,1,Stare,51,460499.0
True,3,0,Grunwald,48,270000.0
True,4,1,Wilda,80,350000.0
True,4,4,Winogrady,90,350000.0
True,4,0,Winogrady,56,323000.0
True,4,4,Centrum,109,649000.0
True,3,8,Grunwald,56,341704.0
True,2,3,Grunwald,50,297421.0
True,2,2,Grunwald,40,245832.0
True,2,4,Winogrady,48,285384.0
True,2,1,Wilda,40,240000.0
True,3,2,Jeżyce,21,345865.0
True,2,2,Jeżyce,57,261000.0
True,3,2,Jeżyce,74,400000.0
True,2,2,Jeżyce,74,400000.0
True,3,9,Rataje,65,348000.0
True,2,2,Grunwald,51,369000.0
True,3,0,Rataje,63,339000.0
True,2,4,Rataje,23,250000.0
True,2,4,Rataje,44,245000.0
True,2,2,Dębiec,48,240000.0
True,2,4,Grunwald,60,262000.0
True,4,1,Smochowice,69,395000.0
True,2,4,Piątkowo,50,313000.0
True,3,1,Malta,90,409000.0
True,3,3,Grunwald,83,599000.0
True,2,2,Jeżyce,42,289000.0
True,3,3,Naramowice,48,390000.0
True,2,4,Piątkowo,49,313000.0
True,4,2,Centrum,72,375000.0
True,3,1,Naramowice,51,350000.0
False,3,5,Winogrady,18,304140.0
False,2,14,Grunwald,74,353275.0
False,2,1,Nowe,93,244071.0
True,3,9,Rataje,65,348000.0
True,3,4,Winogrady,53,320000.0
True,3,9,Rataje,65,348000.0
True,3,9,Rataje,65,348000.0
True,2,1,Dębiec,37,230000.0
True,2,2,Grunwald,37,238000.0
True,4,0,Piątkowo,74,392000.0
True,4,2,Piątkowo,74,380000.0
True,2,4,Górczyn,20,329000.0
True,3,1,Naramowice,47,347000.0
True,2,6,Winogrady,38,259900.0
True,5,3,Piątkowo,125,590000.0
True,2,1,Naramowice,53,320000.0
True,2,5,Centrum,40,432000.0
True,3,1,Piątkowo,84,435000.0
True,2,1,Podolany,46,389000.0
True,3,1,Sołacz,90,799999.0
True,3,3,Piątkowo,60,310000.0
True,3,0,Jeżyce,74,260000.0
True,2,2,Piątkowo,49,266000.0
True,2,2,Stare,77,316498.0
True,3,1,Rataje,50,519000.0
True,2,2,Stare,75,442150.0
True,3,2,Centrum,74,395000.0
True,2,1,Centrum,70,599000.0
True,2,1,Centrum,48,459000.0
True,3,1,Winogrady,51,339000.0
True,3,2,Jeżyce,50,375000.0
True,2,4,Ogrody,41,289000.0
True,2,5,Winogrady,60,230000.0
True,2,4,Centrum,55,440000.0
True,3,2,Centrum,80,599000.0
True,3,4,Winogrady,52,343200.0
True,2,1,Centrum,60,385000.0
True,3,3,Centrum,88,300000.0
True,4,4,Centrum,85,529000.0
True,3,3,Wilda,82,349000.0
True,4,2,Nowe,71,405000.0
True,2,4,Jeżyce,89,355000.0
True,2,0,Górczyn,50,235000.0
True,4,1,Grunwald,64,495000.0
True,2,3,Wilda,60,285000.0
True,3,4,Łazarz,82,385000.0
True,3,3,Wilda,67,379999.0
True,2,13,Rataje,67,370000.0
True,3,0,Naramowice,71,450000.0
True,3,3,Górczyn,70,479000.0
True,4,2,Łazarz,40,439000.0
True,3,0,Łazarz,80,385000.0
True,4,1,Łazarz,50,550000.0
True,3,4,Grunwald,47,260000.0
True,4,2,Łazarz,90,755000.0
True,2,0,Górczyn,54,319000.0
True,3,1,Łazarz,30,380000.0
True,3,1,Piątkowo,76,530000.0
True,3,2,Grunwald,112,900000.0
True,3,8,Piątkowo,75,375000.0
True,2,5,Centrum,50,576500.0
True,2,5,Chwaliszewo,50,576500.0
True,3,2,Centrum,57,438503.0
False,2,3,Grunwald,17,354454.0
False,4,2,Górczyn,63,489780.0
False,4,1,Górczyn,92,491520.0
False,2,1,Grunwald,13,273875.5
True,2,2,Dębiec,35,267000.0
True,2,2,Piątkowo,90,260000.0
True,4,3,Łazarz,38,587000.0
True,3,1,Naramowice,110,460000.0
